loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
19800,36 months,15.92,695.33,D,4 years,RENT,132800,Verified,credit_card,12.54,0,691,52.3,Fully Paid
6000,36 months,10.21,194.2,B,2 years,RENT,83100,Not Verified,debt_consolidation,15.17,0,719,78.4,Fully Paid
4800,36 months,5.65,145.27,A,8 years,RENT,70700,Not Verified,debt_consolidation,7.54,1,747,50.2,Fully Paid
9300,36 months,12.72,312.1,C,10+ years,MORTGAGE,74100,Not Verified,home_improvement,32.15,0,705,55.7,Charged Off
9400,36 months,6.41,287.72,A,8 years,MORTGAGE,72800,Source Verified,major_purchase,12.1,0,737,34.0,Fully Paid
4700,36 months,9.69,150.97,B,10+ years,RENT,55400,Verified,debt_consolidation,13.08,0,711,37.8,Fully Paid
8400,36 months,11.67,277.68,B,5 years,RENT,66100,Not Verified,credit_card,30.86,0,728,58.4,Charged Off
15500,36 months,20.43,579.44,E,10+ years,RENT,51300,Source Verified,debt_consolidation,33.84,0,676,66.3,Fully Paid
9500,60 months,11.07,206.88,C,9 years,MORTGAGE,58900,Not Verified,car,18.51,2,698,40.4,Fully Paid
13000,36 months,9.2,414.61,B,5 years,MORTGAGE,74400,Source Verified,credit_card,32.48,0,716,63.5,Charged Off
7600,36 months,17.69,273.58,D,10+ years,RENT,99800,Verified,major_purchase,11.96,0,669,41.7,Fully Paid
40000,36 months,11.07,1310.88,B,10+ years,MORTGAGE,59800,Not Verified,other,14.45,0,706,82.4,Fully Paid
18400,36 months,11.44,606.23,B,10+ years,OWN,19200,Not Verified,debt_consolidation,31.35,0,717,37.2,Charged Off
4400,60 months,16.66,108.55,E,10+ years,RENT,80200,Not Verified,credit_card,8.16,1,664,74.4,Fully Paid
13700,36 months,11.31,450.53,B,4 years,MORTGAGE,52900,Not Verified,medical,35.1,1,728,16.6,Charged Off
7700,36 months,11.36,253.4,C,8 years,RENT,76000,Source Verified,debt_consolidation,13.65,0,715,88.7,Fully Paid
7800,60 months,14.06,181.74,C,10+ years,OWN,74800,Verified,credit_card,17.0,0,694,41.2,Charged Off
13100,36 months,28.06,542.29,F,10+ years,MORTGAGE,64800,Source Verified,debt_consolidation,12.86,0,653,51.2,Charged Off
22000,36 months,13.63,747.96,C,2 years,OWN,158100,Source Verified,debt_consolidation,10.19,1,697,59.4,Fully Paid
9800,36 months,12.12,326.06,C,4 years,OWN,90900,Not Verified,credit_card,17.71,0,700,70.6,Fully Paid
11800,36 months,9.86,379.98,B,2 years,RENT,42400,Verified,medical,14.7,1,721,16.4,Fully Paid
29600,36 months,9.9,953.72,B,10+ years,MORTGAGE,59100,Not Verified,other,15.21,1,712,48.8,Fully Paid
5600,36 months,12.96,188.58,C,10+ years,MORTGAGE,82700,Verified,debt_consolidation,14.89,0,706,49.9,Fully Paid
22000,36 months,11.24,722.75,B,10+ years,MORTGAGE,41200,Source Verified,debt_consolidation,21.52,1,713,55.2,Fully Paid
7900,60 months,15.23,188.9,C,,MORTGAGE,247800,Not Verified,home_improvement,22.25,0,708,51.7,Fully Paid
16600,60 months,7.94,336.11,A,10+ years,MORTGAGE,102900,Verified,debt_consolidation,20.51,0,735,23.7,Fully Paid
10300,36 months,6.29,314.7,A,10+ years,MORTGAGE,62100,Source Verified,major_purchase,19.08,0,727,68.3,Charged Off
19000,36 months,7.82,593.81,B,10+ years,RENT,52900,Verified,debt_consolidation,9.41,0,732,71.2,Fully Paid
7100,36 months,18.35,257.93,D,10+ years,RENT,59200,Source Verified,home_improvement,11.52,0,698,16.9,Fully Paid
7600,60 months,10.92,164.94,B,9 years,MORTGAGE,72300,Verified,small_business,29.57,0,700,55.5,Fully Paid
4000,60 months,10.54,86.05,B,,MORTGAGE,49600,Source Verified,debt_consolidation,17.14,0,723,35.7,Fully Paid
5800,36 months,17.72,208.87,D,10+ years,RENT,111800,Source Verified,debt_consolidation,12.84,1,695,19.2,Fully Paid
12200,36 months,11.45,402.02,B,,MORTGAGE,122500,Source Verified,debt_consolidation,19.73,0,713,39.0,Fully Paid
8500,60 months,11.65,187.58,B,5 years,RENT,187700,Verified,debt_consolidation,27.45,0,684,68.8,Fully Paid
6600,36 months,19.02,242.0,E,10+ years,RENT,41400,Not Verified,debt_consolidation,8.0,1,683,69.0,Fully Paid
19900,36 months,12.69,667.54,C,3 years,RENT,115700,Verified,home_improvement,16.08,0,697,50.7,Fully Paid
13900,36 months,7.11,429.89,A,5 years,RENT,52600,Not Verified,credit_card,12.3,0,760,29.1,Fully Paid
7500,36 months,10.75,244.65,B,2 years,RENT,72100,Not Verified,debt_consolidation,22.27,1,714,58.6,Fully Paid
11200,36 months,10.48,363.92,B,1 year,OWN,198600,Not Verified,credit_card,14.41,0,720,63.4,Fully Paid
18400,60 months,15.76,445.11,D,10+ years,RENT,64300,Verified,debt_consolidation,14.29,0,693,52.2,Fully Paid
15300,36 months,11.14,501.92,B,9 years,RENT,22100,Not Verified,credit_card,4.69,0,718,23.6,Fully Paid
9100,60 months,10.99,197.81,C,10+ years,RENT,93600,Not Verified,debt_consolidation,15.29,0,702,34.9,Fully Paid
5300,36 months,11.62,175.08,C,10+ years,OWN,90000,Verified,debt_consolidation,23.74,1,691,49.7,Fully Paid
6800,36 months,13.37,230.33,C,8 years,MORTGAGE,24100,Source Verified,small_business,23.67,0,694,21.8,Fully Paid
33100,36 months,10.08,1069.29,B,3 years,MORTGAGE,29400,Verified,credit_card,21.69,1,717,35.0,Fully Paid
8100,36 months,12.13,269.54,B,10+ years,RENT,132500,Not Verified,credit_card,16.11,0,693,80.8,Fully Paid
7800,36 months,25.88,313.77,G,9 years,RENT,223700,Verified,debt_consolidation,30.19,1,639,65.0,Fully Paid
17100,60 months,18.51,438.99,D,2 years,MORTGAGE,85600,Source Verified,debt_consolidation,12.96,0,692,63.1,Fully Paid
11500,36 months,11.39,378.62,B,3 years,OWN,67000,Verified,debt_consolidation,7.84,0,739,31.6,Fully Paid
5700,36 months,17.39,204.33,D,3 years,MORTGAGE,234100,Source Verified,debt_consolidation,11.9,0,687,40.4,Fully Paid
3000,36 months,14.2,102.82,C,5 years,RENT,73200,Source Verified,debt_consolidation,12.81,0,694,63.6,Fully Paid
11500,36 months,9.61,368.97,B,3 years,RENT,42400,Source Verified,debt_consolidation,18.53,1,698,48.2,Fully Paid
35600,60 months,19.36,930.55,E,2 years,MORTGAGE,270500,Source Verified,debt_consolidation,30.23,0,682,39.6,Charged Off
3400,36 months,13.94,116.1,C,10+ years,OWN,57000,Verified,credit_card,19.22,0,704,53.5,Fully Paid
14000,60 months,19.09,363.86,D,10+ years,MORTGAGE,82600,Source Verified,debt_consolidation,24.76,2,675,80.6,Charged Off
10300,36 months,10.89,336.67,B,< 1 year,OTHER,53800,Source Verified,debt_consolidation,7.38,0,727,68.0,Fully Paid
18000,36 months,11.27,591.6,B,5 years,RENT,17200,Verified,major_purchase,24.75,0,735,58.0,Fully Paid
23400,36 months,15.59,817.95,D,10+ years,RENT,26300,Not Verified,debt_consolidation,13.21,0,702,46.7,Charged Off
